,Mean,Std,CI Lower,CI Upper
Accuracy,95.19777306468718,0.49610571859923,94.27359490986214,96.21023329798516
Precision,95.21703472484636,0.4917714699434086,94.29570174474414,96.21635180437538
Recall,95.19777306468718,0.49610571859923,94.27359490986214,96.21023329798516
F1-Score,95.19938287231558,0.49462947731951856,94.2739062337045,96.20968053233757
